,unique_id,children_0-2,children_2-5,children_5-18,adults_18-45,adults_45-60,adults_60-65,adults_65-70,adults_70+,no_people,household_type,quarter,rice,bread,buns_biscuits,pasta,cakes_puddings,pastry,other_bread_cereal,beef,pork,lamb,poultry,sausages,bacon_ham,offal_pate,processed_meat,meat,fish,seafood,preserved_seafood,processed_fish,whole_milk,low_milk,preserved_milk,yoghurt,cheese,other_milk,eggs,butter,margarine,peanut_butter,olive_oil,oils,animal_fats,citrus_fruit,bananas,apples,pears,stone_fruits,berries,fruits,dried_fruit_nuts,preserved_fruit,fresh_veg,cabbage,veg,root_veg,dried_veg,preserved_veg,potatoes,tuber_veg,sugar,jam,chocolate,confectionary,ice_cream,sugar_prod,sauces,condiments,misc,other_food,case_no,OECD_disposable_income,region,total_income,OECD_scale,gross_income,weekly_disposable_income,income_source,adult_food_cost,child_food_cost,total_food_cost,adult_total_expenditure,child_total_expenditure,total_expenditure,eng_rural_urb,scot_rural_urb,quarterly_weight,year
0,9954,1,0,0,2,0,0,0,0,3,Index,October to December,0.84,1.175,0.845,0.0,1.625,1.5,0.0,0.0,0.0,0.0,0.945,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2.25,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275,0.0,0.4,0.0,1.745,0.0,0.0,0.445,1.0,0.0,0.0,0.55,0.0,3.2,0.0,1,380.4212222222222,Eastern,721.07,1.8,713.38,684.7582,Self-employment inc.,23.595,0.0,23.595,371.7643921786026,0.0,371.7643921786026,Rural,,35.82772595996869,2017
1,9955,0,1,1,2,0,0,0,0,4,Index,January to March,0.0,8.75,3.105,0.4,0.4,0.0,5.46,5.725,0.0,0.0,2.68,0.0,1.0,0.0,1.25,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,1.115,1.775,0.0,0.0,6.825,0.0,0.0,0.0,0.225,0.0,2.615,1.335,0.0,0.0,0.0,2.84,0.0,0.0,1.32,1.95,1.75,0.0,0.0,0.0,0.0,0.0,2,303.2142857142857,North West and Merseyside,754.12,2.1,92.14,636.75,Wages salaries,67.695,0.0,67.695,425.69302373311456,0.0,425.69302373311456,Rural,,24.442625430759605,2018
2,9956,0,0,0,0,0,0,0,1,1,Pensioner,July to September,0.0,2.195,2.415,0.0,1.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.0,1.495,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.745,0.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.625,0.0,0.0,1.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,214.002,Northern Ireland,214.002,1.0,214.002,214.002,Social sec. benefits,15.225,0.0,15.225,81.52,0.0,81.52,,,10.78948692218056,2017
3,9957,0,0,0,0,0,0,2,0,2,Index,April to June,0.0,2.025,5.25,1.0,0.0,0.0,2.99,3.84,0.0,0.0,0.0,1.0,0.0,0.0,2.87,0.0,6.4,0.0,0.0,0.0,0.0,2.455,0.0,0.0,0.0,0.0,0.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,1.0,0.5,0.245,0.0,0.0,1.17,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,4,267.78266666666667,Yorkshire and the Humber,426.824,1.5,426.824,401.674,Social sec. benefits,38.36,0.0,38.36,295.60972766615146,0.0,295.60972766615146,Urban,,20.092688970400815,2017
4,9958,0,0,0,0,2,0,0,0,2,Index,January to March,0.0,7.965,1.36,0.0,0.0,1.0,4.095,5.28,0.0,1.715,3.75,1.51,2.0,0.0,8.5,0.0,0.0,0.0,0.0,2.15,0.0,1.985,0.0,1.3,1.555,1.1,0.965,0.0,3.585,0.0,0.555,0.985,0.0,3.5,1.29,0.0,0.0,0.0,3.0,1.45,1.07,1.7,1.375,0.775,2.885,1.435,0.0,2.96,0.675,0.5,1.0,0.375,0.5,0.0,0.0,0.0,1.36,0.0,2.1,0.0,5,753.2399999999999,East Midlands,1376.8,1.5,1376.8,1129.86,Wages salaries,149.58,0.0,149.58,1025.8555895839625,0.0,1025.8555895839625,Rural,,13.41655908132956,2018
5,9959,0,0,0,0,0,0,1,1,2,Index,April to June,0.0,0.4,6.1,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.575,0.0,0.0,0.0,0.0,1.5,0.0,2.465,0.0,1.75,1.2,1.5,0.0,0.85,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,1.225,7.0,0.0,1.5,2.25,0.0,0.0,0.45,1.325,0.0,0.0,0.19,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.665,0.0,0.25,0.0,6,297.0266666666667,Scotland,452.42,1.5,452.42,445.54,Social sec. benefits,72.72,0.0,72.72,261.244832714878,0.0,261.244832714878,,Urban,15.94788162757684,2017
6,9960,1,0,0,2,0,0,0,0,3,Index,April to June,0.0,2.425,0.95,0.325,0.0,2.475,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,2.065,11.28,1.0,2.675,0.74,1.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,1.155,0.0,0.0,3.765,5.86,0.0,5.97,0.0,4.05,0.5,5.215,2.03,0.0,12.48,0.67,1.8,0.0,0.0,0.0,0.325,3.2,0.0,4.19,0.0,4.675,0.0,7,683.0755555555555,South East,1774.91,1.8,1774.91,1229.536,Wages salaries,157.75,0.0,157.75,884.5066301185307,0.0,884.5066301185307,Urban,,20.803845821760778,2017
7,9961,0,0,0,1,1,1,0,0,3,Index,April to June,1.495,1.64,0.35,0.0,0.0,0.0,1.225,0.0,0.0,0.0,3.045,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,1.94,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,5.0,2.35,0.0,1.715,0.0,1.025,0.0,0.0,0.965,0.0,1.95,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1476.66,London,2342.01,2.0,2342.01,1866.26,Self-employment inc.,57.41,0.0,57.41,991.9341964022121,0.0,991.9341964022121,Urban,,36.5979346451671,2017
8,9962,0,0,0,0,0,2,0,0,2,Index,July to September,0.0,3.825,3.06,0.0,1.175,1.0,0.195,0.0,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,3.69,0.0,0.0,0.945,0.0,3.3,0.0,0.55,0.0,4.2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.22,1.155,0.945,0.695,1.87,3.55,0.0,1.52,0.0,1.285,0.685,4.1,2.0,1.7,2.165,0.595,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.625,0.0,9,-108.97076923076914,London,678.85,1.5,678.85,-163.4561538461537,Investment income,62.48,0.0,62.48,1584.5441717829551,0.0,1584.5441717829551,Urban,,30.655389286396158,2017
9,9963,0,1,0,2,0,0,0,0,3,Index,April to June,0.0,5.65,1.25,0.0,1.75,4.475,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,1.725,0.0,0.0,0.0,0.0,0.0,0.0,1.77,4.08,0.6,0.75,0.0,0.0,0.0,0.0,0.575,0.0,0.0,0.5,0.675,0.0,0.875,2.725,1.59,0.995,0.0,0.25,0.225,1.0,1.785,0.0,1.645,0.0,3.53,0.0,0.0,1.02,1.5,0.875,0.0,2.54,0.0,0.0,0.42,10,506.80555555555554,North West and Merseyside,1123.11,1.8,1123.11,912.25,Wages salaries,114.4,0.0,114.4,1020.1681196540948,0.0,1020.1681196540948,Urban,,35.15737843412011,2017
