,unique_id,children_0-2,children_2-5,children_5-18,adults_18-45,adults_45-60,adults_60-65,adults_65-70,adults_70+,no_people,household_type,quarter,rice,bread,buns_biscuits,pasta,cakes_puddings,pastry,other_bread_cereal,beef,pork,lamb,poultry,sausages,bacon_ham,offal_pate,processed_meat,meat,fish,seafood,preserved_seafood,processed_fish,whole_milk,low_milk,preserved_milk,yoghurt,cheese,other_milk,eggs,butter,margarine,peanut_butter,olive_oil,oils,animal_fats,citrus_fruit,bananas,apples,pears,stone_fruits,berries,fruits,dried_fruit_nuts,preserved_fruit,fresh_veg,cabbage,veg,root_veg,dried_veg,preserved_veg,potatoes,tuber_veg,sugar,jam,chocolate,confectionary,ice_cream,sugar_prod,sauces,condiments,misc,other_food,case_no,OECD_disposable_income,region,total_income,OECD_scale,gross_income,weekly_disposable_income,income_source,adult_food_cost,child_food_cost,total_food_cost,adult_total_expenditure,child_total_expenditure,total_expenditure,eng_rural_urb,scot_rural_urb,quarterly_weight,year
0,15361,0,0,0,1,1,0,0,0,2,Index,July to September,0.325,3.535,2.62,2.96,3.225,0.7,5.495,3.745,0.0,0.0,3.695,0.0,0.0,0.0,1.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695,1.64,0.0,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.49,0.925,0.0,0.0,0.165,1.375,0.0,0.93,2.065,0.0,2.255,0.175,0.0,0.0,0.0,3.3,1.94,0.0,0.0,1.62,0.0,0.35,0.0,1,942.5533333333333,Eastern,1973.05,1.5,1973.05,1413.83,Wages salaries,71.515,0.0,71.515,520.7699750196978,0.0,520.7699750196978,Rural,,18.305731100448146,2018
1,15362,1,0,1,2,0,0,0,0,4,Index,April to June,0.0,1.8,5.16,0.0,3.375,3.295,0.75,0.0,0.965,2.0,0.0,1.25,1.0,0.0,3.92,0.0,3.7,0.0,0.0,0.725,0.0,1.325,5.5,2.775,5.65,2.26,0.0,0.0,0.0,1.175,1.75,0.0,0.0,2.125,0.75,3.765,0.0,5.6,9.655,2.275,2.325,1.25,6.12,2.1,9.56,2.775,0.0,5.575,1.25,0.855,0.0,0.65,6.0,0.0,2.85,0.0,0.0,0.0,4.18,0.0,2,742.3809523809523,London,2020.31,2.1,1602.48,1559.0,Wages salaries,177.04,0.0,177.04,832.7462684256238,0.0,832.7462684256238,Urban,,28.146800259795196,2018
2,15363,0,0,0,0,1,1,0,0,2,Index,April to June,0.0,20.79,4.37,2.115,3.3,0.0,3.01,3.22,1.78,0.0,2.545,0.0,0.0,1.625,16.765,0.0,3.245,3.565,0.0,1.34,0.0,5.185,0.0,0.5,1.54,0.625,1.0,0.0,0.995,0.0,0.0,0.0,1.0,0.575,0.785,0.0,0.675,0.175,3.345,1.45,0.0,0.0,1.835,0.0,1.52,0.87,0.0,1.295,1.225,3.49,0.295,0.995,1.135,0.88,1.67,0.0,2.295,0.0,0.0,0.0,3,602.5666666666667,Yorkshire and the Humber,1116.05,1.5,1116.05,903.85,Wages salaries,138.71,0.0,138.71,643.0113671291992,0.0,643.0113671291992,Urban,,19.3607282527448,2018
3,15364,0,0,0,0,0,0,1,1,2,Pensioner,October to December,0.0,2.595,2.12,1.375,2.375,0.0,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7,0.0,0.0,1.375,0.0,3.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.715,1.625,1.17,0.425,2.81,10.515,2.89,2.5,0.0,0.6,0.395,1.305,3.09,0.0,3.6,0.145,2.125,0.0,0.0,1.75,0.225,0.0,0.0,1.5,0.375,2.25,0.0,4,399.6554871794872,London,601.8882307692307,1.5,601.8882307692307,599.4832307692308,Social sec. benefits,73.425,0.0,73.425,316.3989455517323,0.0,316.3989455517323,Urban,,22.312399013712223,2018
4,15365,1,0,0,2,0,0,0,0,3,Index,July to September,4.495,3.055,0.0,0.5,0.0,0.3,3.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.445,0.0,0.0,1.595,0.0,0.0,0.0,1.825,8.4,0.0,2.345,0.0,0.695,1.52,0.0,0.0,0.0,0.545,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,3.03,0.0,1.025,0.55,2.825,4.52,1.32,0.9,0.475,1.045,0.325,0.0,0.0,0.0,0.46,0.0,1.155,7.31,0.745,0.425,5,487.64444444444445,Eastern,1212.17,1.8,1164.09,877.76,Wages salaries,61.655,0.0,61.655,492.30714724890487,0.0,492.30714724890487,Urban,,19.412152991604184,2018
5,15366,0,0,0,0,0,0,0,1,1,Index,April to June,0.375,0.6,0.0,0.0,1.6,1.5,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.395,0.325,1.0,0.0,1.725,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.35,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.25,0.625,0.5,0.0,0.0,0.0,0.0,0.0,6,848.648153846154,Yorkshire and the Humber,913.2778974358974,1.0,906.4381538461539,848.648153846154,Annuities pensions,53.68,0.0,53.68,458.26695626301694,0.0,458.26695626301694,Urban,,22.6469551193724,2018
6,15367,0,0,0,0,0,2,0,0,2,Index,July to September,0.0,2.275,0.0,0.0,0.25,0.0,0.0,3.725,0.0,0.0,2.895,0.0,1.15,0.0,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,1.0,1.0,0.87,0.675,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.145,1.0,1.5,0.0,0.0,2.675,1.125,0.0,0.35,0.0,1.45,0.42,1.3,0.0,0.0,0.0,0.0,0.0,0.55,1.875,0.0,0.0,0.0,7,770.6121333333334,South West,1590.37,1.5,1532.68,1155.9182,Wages salaries,136.625,0.0,136.625,2546.3158836983944,0.0,2546.3158836983944,Urban,,19.377283022130108,2018
7,15368,0,0,0,1,1,0,0,0,2,Index,July to September,1.145,1.34,3.18,0.39,0.8,1.98,2.14,1.575,0.0,2.0,9.495,0.0,0.0,0.0,5.49,0.0,0.0,0.0,1.44,3.24,0.0,2.025,0.0,2.52,1.3,0.0,0.0,0.0,0.0,1.145,0.0,0.545,0.0,0.0,0.78,0.0,0.0,0.0,2.05,2.435,0.44,0.0,1.175,0.49,1.905,3.65,0.0,3.37,1.325,0.99,0.0,0.0,1.395,0.0,1.29,0.0,4.945,0.64,1.045,0.0,8,626.7133333333334,Wales,1138.54,1.5,1138.54,940.07,Wages salaries,98.805,0.0,98.805,454.70871473735406,0.0,454.70871473735406,Rural,,34.41430706115289,2018
8,15369,0,0,0,0,0,0,1,1,2,Index,October to December,0.0,4.39,4.635,0.0,3.25,0.795,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.79,0.0,1.87,0.0,0.0,0.75,1.2,0.0,1.5,0.925,0.0,0.545,0.495,0.0,1.38,0.435,0.775,2.17,0.5,0.0,0.78,0.0,0.0,1.14,2.22,1.95,4.12,0.0,3.275,6.355,0.495,0.25,0.0,7.715,0.0,3.5,0.0,1.445,1.0,2.535,0.0,9,177.0008205128205,West Midlands,281.25123076923074,1.5,281.25123076923074,265.50123076923074,Social sec. benefits,79.96,0.0,79.96,423.3264199351344,0.0,423.3264199351344,Urban,,19.145352099682206,2018
9,15370,0,1,2,3,0,0,0,0,6,Index,July to September,2.13,5.58,8.19,1.2,1.975,1.0,4.705,0.0,0.0,0.0,15.0,0.0,4.12,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,4.46,0.875,2.45,1.4,0.0,3.0,0.0,0.0,0.0,0.0,1.45,1.245,1.39,0.0,0.0,2.595,5.19,0.0,0.0,1.66,0.0,1.345,3.375,0.0,1.3,1.985,5.165,0.0,0.345,7.315,4.965,0.395,0.0,0.5,0.5,0.385,0.0,10,213.03870967741935,North West and Merseyside,734.65,3.1,734.65,660.42,Wages salaries,134.42,3.745,138.165,664.9063260851027,16.535,681.4413260851027,Urban,,26.78506485161332,2018
